Uniq Id,Job Salary,Job Experience Required,Key Skills,Industry,Role
50, Not Disclosed by Recruiter ,3 - 5 yrs, oracle| sql server| development| mca| performance testing| mercury| database testing| testing databases| middleware testing,"IT-Software, Software Services",Testing Engineer
51," 1,50,000 - 2,50,000 PA. ",1 - 2 yrs, sales management| online sales| sales| auto parts| accessories| Warehouse Operations| Data Entry| Sales Lead Generation,"Automobile, Auto Anciliary, Auto Components",Sales Executive/Officer
52, Not Disclosed by Recruiter ,4 - 6 yrs, Unix| Hibernate| Installation| Linux| RDBMS| Billing| MySQL| Operations| Tuning| Technical documentation,"IT-Software, Software Services",DBA
53, Not Disclosed by Recruiter ,10 - 15 yrs, ETL| Modeler| Test Case Design| Datastage| Data Modeling| Performance Tuning| Unit Testing| Design Development| Business Process| Application Development,"IT-Software, Software Services",DBA
54," 3,00,000 - 4,00,000 PA. ",0 - 3 yrs, investment research| equity research| financial research| mba finance| investment banking| venture capital| private equity| cfa| data analyst| financial analyst,"Banking, Financial Services, Broking",Financial Analyst
55, Not Disclosed by Recruiter ,2 - 5 yrs, Data Scientist,"Banking, Financial Services, Broking",Clinical Research Associate/Scientist
56," 1,50,000 - 2,50,000 PA. ",0 - 2 yrs, Sales| Field Sales| data collections| Data Collection| Courier,Other,Fresher
57, Not Disclosed by Recruiter ,7 - 12 yrs, hive| python| java| mapreduce| spark| cassandra| mysql| big data| hbase| pig,"IT-Software, Software Services",Software Developer
58, Not Disclosed by Recruiter ,8 - 12 yrs, Informatica| Cognos| Datastage| PLSQL| Data structures| Workflow| Data modeling| RDBMS| Stored procedures| Data migration,"Recruitment, Staffing",Software Developer
59, Not Disclosed by Recruiter ,9 - 13 yrs, Integration| UI| Application Integration| Data Modeling| Guidewire,"IT-Software, Software Services",Software Developer
60," 1,75,000 - 2,75,000 PA. ",0 - 1 yrs, BPO| Cce| Calling| Inbound| Data Entry| fresher| voice process| chat| Back Office| Domestic BPO| backend| Call Center| International BPO,"BPO, Call Centre, ITeS",Fresher
61, Not Disclosed by Recruiter ,5 - 10 yrs, c++| C| design| MySQL| JavaScript| HTML,"Strategy, Management Consulting Firms",IT/Technical Content Developer
62," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, freelancing| data entry operation,"Recruitment, Staffing",Fresher
63, Not Disclosed by Recruiter ,2 - 7 yrs, Data Science| Java| NoSQL| Python| Spark| Artificial Intelligence| Machine Learning| Hadoop| SCALA| R,"IT-Software, Software Services",Software Developer
64, Not Disclosed by Recruiter ,6 - 8 yrs, Project management| Analytics| Recruitment| Data analysis| Data management| Business research| Consulting| RFP| Macros| Client management,"Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
65, Not Disclosed by Recruiter ,8 - 12 yrs, sql server| database design| hive| finance| project management| development testing| project manager| Database,"IT-Software, Software Services",Project Manager-IT/Software
66, Not Disclosed by Recruiter ,0 - 3 yrs, English| Data Entry| Computer Operating| Back Office| Selection Process| Domestic BPO| bpo call center| bpo fresher,"IT-Software, Software Services",Fresher
67, Not Disclosed by Recruiter ,5 - 8 yrs, Shell Scripting| Data Warehousing| Teradata| ETL| Analytics| SQL| Python,"IT-Software, Software Services",Software Developer
68," 1,75,000 - 3,00,000 PA. ",2 - 5 yrs, data entry operation| health insurance,"Medical, Healthcare, Hospitals",Outside Consultant
69, Not Disclosed by Recruiter ,2 - 4 yrs, Datastage| Datastage Developer,"IT-Software, Software Services",Software Developer
70, Not Disclosed by Recruiter ,10 - 20 yrs, Applications| Customer Relations| IP| Tools| DNS| Data Center| IT Service Delivery| DHCP| data - centre| Team| IT operations| deployment,"IT-Software, Software Services",Head/VP/GM-Technology (IT)/CTO
71," 2,00,000 - 3,00,000 PA. ",3 - 4 yrs, SQL Server Administration| SQL Database| MS SQL Server,"IT-Software, Software Services",DBA
72, Not Disclosed by Recruiter ,5 - 8 yrs, Performance tuning| Service| Consulting| Trend analysis| English language| Customer satisfaction| Oracle admin| Effort estimation| Lead Administrator| Database Administrator,"IT-Software, Software Services",DBA
73, Not Disclosed by Recruiter ,20 - 26 yrs, Telecom| IP Telephony| Storage| CCIE| Communication Protocols| Cloud| Cisco| Datacenter| IT Service Delivery| System Integration,"IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
74, Not Disclosed by Recruiter ,5 - 8 yrs, Unit testing| Monitoring| Computer science| Software configuration management| Performance management| Service level| Data analytics| Architecture| Resource planning| software architecture,"Recruitment, Staffing",Software Developer
75, Not Disclosed by Recruiter ,2 - 5 yrs, Manager Quality Control| Data entry,"IT-Software, Software Services",Stenographer/Data Entry Operator
76, Not Disclosed by Recruiter ,9 - 12 yrs, Query Optimization| Database Administration| Transition Management| Cassandra| SQL Server| Performance Tuning| Optimization| Oracle RDBMS| PLSQL| Data Modeling| Data Warehousing| Data Architecture| OLTP,"IT-Software, Software Services",Technical Architect
77," 3,00,000 - 4,25,000 PA. ",0 - 5 yrs, Data Entry Operation| Typing| Offline| Data Entry,"BPO, Call Centre, ITeS",Other
78, Not Disclosed by Recruiter ,0 - 5 yrs, Data Entry| typing| computer operator| back office,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
79, Not Disclosed by Recruiter ,5 - 7 yrs, Enterprise Architecture| High Availability| Data Management| BI| OLAP| SQL| Data Model| DATA BASE| Data Analysis| Physical Design| Data Modeling| ETL| ERWIN,"Retail, Wholesale",Software Developer
80, Not Disclosed by Recruiter ,7 - 12 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,"Recruitment, Staffing",Software Developer
81," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, Word| Typing| freshers| part time| data entry,"Recruitment, Staffing",Fresher
82," 1,50,000 - 3,75,000 PA. ",0 - 0 yrs, BPO| Domestic BPO| International BPO| Call Center| voice process| Non Voice Process| Back Office| backend| Data Entry Operator| Inbound Process| Marketing| Technical Support| customer support,"BPO, Call Centre, ITeS",Fresher
83," 5,00,000 - 13,00,000 PA. ",2 - 4 yrs, Analyst| Product enhancement| Customer experience| e - Commerce| conversion,"KPO, Research, Analytics",Data Analyst
84," 12,00,000 - 14,00,000 PA. ",4 - 5 yrs, Team Management| Data Enrichment| SAP| Data Migrations| Data Cleansing| Data quality| Master Data| Data Profiling| hana| Data Governance,"BPO, Call Centre, ITeS",Financial Analyst
85, Not Disclosed by Recruiter ,5 - 10 yrs, Data management| RDBMS| SSRS| OLAP| Application development| SSIS| Troubleshooting| Information technology| Technical support| SQL,"BPO, Call Centre, ITeS",Software Developer
86,"INR 2,25,000 - 3,00,000 PA.", 0 - 2 Years,annotation|communication skills|fresher|data services|transcriber|Cbse|ICSE,BPO / Call Centre / ITES,Associate/Senior Associate -(NonTechnical)
87," INR 3,00,000 - 5,00,000 PA.", 2 - 5 Years,Power Bi|SQL|Data Integration|Data Reporting|People Development|Management Services|Leadership Hiring|Maintenance Activities|Continuous Improvement|Client Satisfaction,Banking / Financial Services / Broking,Operations Manager
88, Not Disclosed by Recruiter ,1 - 3 yrs, Data entry,"Strategy, Management Consulting Firms",Fresher
89, Not Disclosed by Recruiter ,1 - 6 yrs, High Availability| MS SQL| R12| Database Administration| Linux| RAC| EBS| Oracle Apps Dba| 11I| Golden Gate,"IT-Software, Software Services",DBA
90, Not Disclosed by Recruiter ,5 - 10 yrs, SuccessFactors| OData| SAP Implementation| Functional Consultant,"IT-Software, Software Services",Functional Outside Consultant
91," 16,00,000 - 20,00,000 PA. ",11 - 13 yrs, etl| data modeling| data visualization| data warehousing| dw| data analytics| sas| data reporting| data analysis| cloud| Bi| Big Data,"Banking, Financial Services, Broking",Analytics Manager
92, Not Disclosed by Recruiter ,8 - 10 yrs, functional testing| process integration| business understanding| stakeholder management| process improvement initiatives| version control| business development| strategy| performance management,"KPO, Research, Analytics",Analytics Manager
93, Not Disclosed by Recruiter ,1 - 4 yrs, Data Analytics| Big Data,"IT-Software, Software Services",Software Developer
94, Not Disclosed by Recruiter ,1 - 5 yrs, C++| Multithreading| Linux| Data Structures| SQLite| Memory Management| Algorithm| Data Structure,"IT-Software, Software Services",Software Developer
95, Not Disclosed by Recruiter ,3 - 8 yrs, itm| performance tuning| data warehousing| tivoli| netcool omnibus| middleware,"IT-Software, Software Services",Technical Support Engineer
96, Not Disclosed by Recruiter ,2 - 5 yrs, Python| Six Sigma| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,"IT-Software, Software Services",Database Architect/Designer
97, Not Disclosed by Recruiter ,7 - 12 yrs, Java| HADOOP| Scala| SPARK,"IT-Software, Software Services",Software Developer
98,1,1 - 5 yrs, Networking| Windows Server| ITIL Certified| Backup Management| Data Center| End User| Computer Operating,"IT-Software, Software Services",Database Architect/Designer
99, Not Disclosed by Recruiter ,5 - 7 yrs, Com| Tally ERP| MS Office| Business Executive| Data Entry Operator,"Internet, Ecommerce",Stenographer/Data Entry Operator
100," 1,50,000 - 3,50,000 PA. ",0 - 0 yrs, data entry operation| back office| domestic bpo| data entry| computer operator| chat process| bpo| freshers| voice process| inbound process| accounts| digital marketing| bpo freshers| International Call Center| International BPO| Technical Support,"BPO, Call Centre, ITeS",Fresher
101, Not Disclosed by Recruiter ,0 - 2 yrs, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"Recruitment, Staffing",Stenographer/Data Entry Operator
102," 3,00,000 - 4,25,000 PA. ",0 - 5 yrs, computer operating| part time| offline| typing| data entry| Data Entry Executive,"BPO, Call Centre, ITeS",Other
103," 15,00,000 - 30,00,000 PA. ",6 - 10 yrs, Java| C++| Software Development| Algorithms| Languages| Machine Learning| Python,"IT-Software, Software Services",Software Developer
104,Not Disclosed by Recruiter, 0 - 1 Years,SQL|Excel|QC|QA|Database Development|Data Validation|Process Improvement,IT-Software / Software Services,Software Developer
105, Not Disclosed by Recruiter ,1 - 5 yrs, Linux| Python| Agile| Configuration management| HTTP| JIRA| Japanese| SMTP| Version control| SCALA,"Recruitment, Staffing",System Administrator
106, Not Disclosed by Recruiter ,3 - 6 yrs, Adobe| Data mining| Executive| SQL queries| big data| Data Analyst| Analyst II| tableau| Hadoop,"IT-Software, Software Services",Software Developer
107, Not Disclosed by Recruiter ,1 - 5 yrs, Product training| Basic| data integrity| Data entry,"Medical, Healthcare, Hospitals",Associate/Senior Associate -(NonTechnical)
108," 10,00,000 - 20,00,000 PA. ",9 - 12 yrs, Hive| Elastic search| big data| Hbase| Apache Spark,"IT-Software, Software Services",Technical Architect
109," 1,50,000 - 3,25,000 PA. ",0 - 0 yrs, bpo| Inbound Process| Email Support| Computer Operator| back office| back office executive| call center| Data Entry Operator| Marketing| Chat Process| Backend| voice process| Domestic BPO| Fresher| data entry,"BPO, Call Centre, ITeS",Fresher
110, Not Disclosed by Recruiter ,5 - 7 yrs, Automation| GIT| SAS| Db2| Configuration management| Analytical| Data processing| Open source| JIRA| Operations,"IT-Software, Software Services",Team Lead/Technical Lead
111," 1,00,000 - 1,25,000 PA. ",0 - 1 yrs, data entry operation| bpo| computer operator| back office| back office operations| office assistant| back office executive| typing| data entry| banking,"BPO, Call Centre, ITeS",Fresher
112," 1,00,000 - 2,00,000 PA. ",1 - 3 yrs, web technologies| data entry| CRM| Data Analysis| data mining,"IT-Software, Software Services",Other
113, Not Disclosed by Recruiter ,8 - 13 yrs, Java| spark| scala| azure| Big Data,"IT-Software, Software Services",Software Developer
114, Not Disclosed by Recruiter ,5 - 8 yrs, Java| NoSQL| Neo4J| SCALA| Big Data| Spark| HBase| Python,"IT-Software, Software Services",Business Analyst
115," 12,00,000 - 15,00,000 PA. ",8 - 10 yrs, Data Science| Deep Learning| R| Python| Statistics| SAS,"IT-Software, Software Services",Trainer/Faculty
116, Not Disclosed by Recruiter ,5 - 8 yrs, Teradata| DBA| Database Administration,"IT-Software, Software Services",DBA
117, Not Disclosed by Recruiter ,6 - 10 yrs, Project Management| Stakeholder Management| Team Leading Skills| Global Delivery| Service Delivery| Client Management| Continuous Improvement| Operations| International Clients| People Development,"Banking, Financial Services, Broking",Other
118," 6,50,000 - 16,50,000 PA. ",2 - 6 yrs, SQL| HIVE| Python| R| Shell| Shell.,"IT-Software, Software Services",Software Developer
119, Not Disclosed by Recruiter ,5 - 8 yrs, Performance tuning| Service| Consulting| Trend analysis| English language| Customer satisfaction| Oracle admin| Effort estimation| Lead Administrator| Database Administrator,"IT-Software, Software Services",DBA
120, Not Disclosed by Recruiter ,3 - 8 yrs, Database Architect| Com| Rational rose| Support| large| Data modeling| Reverse engineering| Distribution| Tool design| Architecting,"IT-Software, Software Services",Database Architect/Designer
121, Not Disclosed by Recruiter ,2 - 5 yrs, Usage| GIT| Business transformation| Linux| Machine learning| Agile| Cost| AWS| SQL| Python,"Advertising, PR, MR, Event Management",System Administrator
122," 5,00,000 - 10,00,000 PA. ",3 - 8 yrs, Life Sciences| data analysis| Data Management| Advanced Excel| Master Data,"Pharma, Biotech, Clinical Research",Regulatory Affairs Manager
123, Not Disclosed by Recruiter ,4 - 7 yrs, Hive| Sqoop| Hadoop| Big Data,"IT-Software, Software Services",Software Developer
124, Not Disclosed by Recruiter ,2 - 6 yrs, technical support| data modeling| product life cycle| presentation skills| analytical skills| sql server| problem resolution| SQL Developer| sql database,"IT-Software, Software Services",Software Developer
125, Not Disclosed by Recruiter ,2 - 3 yrs, Com| advertising agency| Typing speed| Back office| MS Office| Ad agency| Advertising| Application| Data entry| Data Entry Operator,"Advertising, PR, MR, Event Management",Fresher
126, Not Disclosed by Recruiter ,0 - 3 yrs, Receptionist| Administration| Front Office| Front Desk| Travel Arrangements| Computer Operating,"BPO, Call Centre, ITeS",Stenographer/Data Entry Operator
127, Not Disclosed by Recruiter ,5 - 10 yrs, Embedded System| C++| C| OOAD| RTOS| Linux| Kernel| Device Driver| VLAN| GPON| TCP| IP,"Telcom, ISP",Software Developer
128, Not Disclosed by Recruiter ,5 - 10 yrs, C++| SQL| Linux| Performance tuning| server| development| technical| software| virtualization| Windows| tools| quality| cloud| MS SQL| database| application| Information security| MySQL| design| Application development| support| Python,"IT-Software, Software Services",Software Developer
129, Not Disclosed by Recruiter ,3 - 8 yrs, Linux| Perl| Automation| Python| SAN| Open source| Ruby| Analytics| Data management| Computer science,"Media, Entertainment, Internet",Sales Executive/Officer
130, Not Disclosed by Recruiter, 6 - 9 Years,Java|Sqoop|Cloudera|Hadoop|SCALA|Big Data|Flume|Spark|Python,IT-Software / Software Services,Software Developer
131, Not Disclosed by Recruiter ,3 - 5 yrs, teradata developer| Teradata| Teradata DBA,"IT-Software, Software Services",DBA
132," 13,00,000 - 19,00,000 PA. ",5 - 9 yrs, SAS| Hadoop| R| Hive| SQL| Machine Learning| Time Series| Big Data Analytics| Predictive Modeling| Statistics,"Banking, Financial Services, Broking",Data Analyst
133," 2,75,000 - 4,25,000 PA. ",0 - 1 yrs, international bpo| Back Office Processing| Front Office| Computer Operating| Calling| business development| Digital Marketing| Non Voice| Data Entry| sales| Marketing| online marketing| voice process| receptionist| Mba Fresher| Call Center,"BPO, Call Centre, ITeS",Fresher
134, Not Disclosed by Recruiter ,2 - 3 yrs, Root cause analysis| metadata| Data management| query| Data structures| Management| big data| Data warehousing| Analytics| SQL,"IT-Software, Software Services",Database Architect/Designer
135, Not Disclosed by Recruiter ,6 - 10 yrs, data warehouse| Tableau| ETL| SQL,"Banking, Financial Services, Broking",Data Analyst
136, Not Disclosed by Recruiter ,8 - 13 yrs, MIS| Consulting| Back office| Supply chain| IT services| Automation| Information security| Data quality| IT operations| Information technology,Food Processing,Software Developer
137, Not Disclosed by Recruiter ,2 - 5 yrs, Six Sigma| .NET| Python| assembly language| JavaScript| HTML| developer| Oracle| email| SQL,"IT-Software, Software Services",Software Developer
138, Not Disclosed by Recruiter, 3 - 6 Years,Data Services|Application Development|Performance Testing|Business Process|Business Objects|Data Migration,IT-Software / Software Services,DBA
139, Not Disclosed by Recruiter, 1 - 5 Years,Unix|Supply chain|Service management|FTP|Shell scripting|Problem management|EDI|Troubleshooting|Unix shell scripting|Python,IT-Software / Software Services,Software Developer
140, Not Disclosed by Recruiter ,1 - 6 yrs, typist| data entry operator| computer operator,"Recruitment, Staffing",Stenographer/Data Entry Operator
141," 4,50,000 - 9,50,000 PA. ",4 - 9 yrs, hive| java| spark| scala| hadoop| data architecture| big data| communication skills,"IT-Software, Software Services",Software Developer
142, Not Disclosed by Recruiter ,2 - 5 yrs, Troubleshooting| SQL| Coding| Computer science| PDF| Data migration| Ruby| Pentaho| continuous integration| Programming,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
143, Not Disclosed by Recruiter ,4 - 9 yrs, data science| Project planning| Analytics| Operations research| Publishing| Analytical| Machine learning| HTML| Mining operations| Data mining,"Medical, Healthcare, Hospitals",Software Developer
144," 3,00,000 - 4,50,000 PA. ",5 - 7 yrs, Data Security| Security Operations| CISCO| Cisco Wireless,IT-Hardware & Networking,IT/Networking-Manager
145, Not Disclosed by Recruiter ,8 - 13 yrs, c#| algorithms| collection| sql| linq| winforms| Multithreading| msmq| .net| data structures| object oriented programming| c#.net| azure,"IT-Software, Software Services",Team Lead/Technical Lead
146," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, Word| Typing| freshers| part time| data entry,"Recruitment, Staffing",Fresher
147," 1,50,000 - 2,25,000 PA. ",0 - 2 yrs, Back Office Processing| BPO| Data Entry| Call Center| Cce| Calling| Domestic| customer care| inbound| executive| customer service| customer support| kpo| voice process| fresher| domestic bpo| international bpo| customer care executive,"BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
148, Not Disclosed by Recruiter ,2 - 5 yrs, Data management| Design review| EDC| Process improvement| Healthcare| QIP| Continuous improvement| Analytics| IMS,"Medical, Healthcare, Hospitals",Outside Consultant
149, Not Disclosed by Recruiter ,5 - 10 yrs, Performance tuning| MS SQL| Postgresql| Database administration| Agile| Windows| Oracle| Troubleshooting| SDLC| Monitoring,"IT-Software, Software Services",DBA
150, Not Disclosed by Recruiter ,2 - 6 yrs, data mining| mapping| business intelligence| Data modeling| Statistical analysis| machine learning| Python| R| MATLAB,"Semiconductors, Electronics",Data Analyst
151, Not Disclosed by Recruiter ,5 - 8 yrs, Computer science| Postgresql| MySQL| Test planning| Performance optimization| Customer service| Dms| professional services| Troubleshooting| PGSQL,"IT-Software, Software Services",Team Lead/Technical Lead
152, Not Disclosed by Recruiter ,1 - 5 yrs, MS SQL| Data modeling| SSRS| Agile| Database| Visual Studio| SSIS| Business Executive,"IT-Software, Software Services",Database Architect/Designer
153, Not Disclosed by Recruiter ,1 - 3 yrs, Computer hardware| Networking| MS Office| Hardware networking| IT support| Hardware| HR| it| microsoft,"IT-Software, Software Services",Software Developer
